Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.6762204550474928,0.8865177832919768,0.7047143138930896,0.7852302282134876,0.6642034745907041
Decision Tree,0.7122818643693395,0.8847841145232048,0.7558682359129463,0.81526132898376,0.657208945947588
Random Forest,0.7350894632206759,0.8886814991787367,0.7826287066868302,0.832290319197287,0.6886733588577287
